"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"ppx1x2x3p[4,84,2]",1.403046750499,1.38265,1.3754297789947,388.3,0.95,0.930082,1.94195,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[5,84,2]",1.1864969261477,1.15446,1.01952845689555,127.7,0.95,0.613918,1.92626,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[6,84,2]",1.78198187624751,1.74336,1.7203412017288,288.1,0.95,1.26164,2.31124,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[7,84,2]",1.90009973453094,1.87626,1.84308588002822,387.4,0.95,1.02651,2.65783,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[8,84,2]",2.11814574850299,2.07059,1.99295517664082,295.7,0.95,1.33995,2.81382,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[9,84,2]",2.23075788423154,2.2002,2.16178567161425,234.5,0.95,1.55692,2.9543,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[10,84,2]",2.29736011976048,2.24175,2.18862594037425,237.1,0.95,1.41902,3.47189,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[11,84,2]",3.0827401996008,3.0509,2.99406526505604,260.9,0.95,2.26454,3.99185,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[1,85,2]",0.883814954091816,0.867035,0.808695829662813,313.9,0.95,0.600533,1.19012,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[2,85,2]",1.18248853093812,1.1251,1.10030718260038,180.6,0.95,0.461671,2.05209,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[3,85,2]",1.10821751297405,1.07647,1.06348182599801,231.4,0.95,0.620065,1.60641,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[4,85,2]",1.24540381037924,1.21973,1.1603990139387,286.1,0.95,0.830154,1.7519,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[5,85,2]",1.04947248902196,1.03431,1.06088952510558,253.9,0.95,0.519132,1.67165,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[6,85,2]",1.57905505988024,1.54691,1.46671034195278,289.3,0.95,1.09646,2.07882,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[7,85,2]",1.69813171856287,1.6559,1.68866738592746,246.5,0.95,0.84168,2.51572,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[8,85,2]",1.87627515768463,1.85256,1.85173303566084,284,0.95,1.32489,2.60629,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[9,85,2]",1.97248680638723,1.94082,1.85253806798056,308,0.95,1.38374,2.63545,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[10,85,2]",2.03696908183633,1.9745,1.84026385116644,274.9,0.95,1.18314,3.03073,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[11,85,2]",2.73227930139721,2.68134,2.53307046227901,271.3,0.95,2.04032,3.71592,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[1,86,2]",0.888831572854291,0.877978,0.852928301285989,215,0.95,0.616921,1.19416,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[2,86,2]",1.1814007005988,1.12388,1.01176196628914,174.7,0.95,0.482026,1.9608,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[3,86,2]",1.10935709381238,1.09824,1.10881431115942,210.6,0.95,0.699391,1.58285,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[4,86,2]",1.248262499002,1.21178,1.17963404065272,270,0.95,0.831087,1.66798,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[5,86,2]",1.05703014570858,1.03253,1.02389717426373,194.5,0.95,0.481439,1.63087,NA,NA,NA,NA,NA,NA,NA
"ppx1x2x3p[6,86,2]",1.58517574850299,1.58709,1.60093603822507,311.2,0.95,1.18607,2.00726,NA,NA,NA,NA,NA,NA,NA
